cerveja;cervejaria;estilo;abv;ibu;ratings;media;descricao_estilo;descricao_cerveja;figura 
Charlie Don't Surf;Spartacus Brewing;Sour / Fruit Beer;7;5;1079;4.12;Também conhecidas como cervejas azedas, as Sour são cervejas diferentes, ácidas, com significativo aroma e sabor de fermentação. Uma cerveja de acidez elevada intencionalmente, todos os exemplares trazem essa característica tanto no aroma quanto no sabor, sendo alguns mais ou menos intensos. ;Hoje é dia de coisa séria, de ousadia e coragem. Rompemos as barreiras de guias de estilo com uma base potente com seus 7% de álcool, PH 2.9 e lactose, trazendo uma sensação única de refrescancia e sedosidade. Ousamos por complexidade e por dosagens absurdas de Manga, Maracujá e Goiaba. Para finalizar... um toque de Baunilha! Uma missão, foco em um objetivo maior, buscando a excelência para você, apreciador de Spartacus!;sour_charlie_dont_surf.jpeg
I'm Fucking Sour;Three Monkeys Beer;Sour / Fruit Beer;6.3;15;1881;3.97;Também conhecidas como cervejas azedas, as Sour são cervejas diferentes, ácidas, com significativo aroma e sabor de fermentação. Uma cerveja de acidez elevada intencionalmente, todos os exemplares trazem essa característica tanto no aroma quanto no sabor, sendo alguns mais ou menos intensos. ;Tem Pitaaaayaaaaa? TEM! Tem FRAMBOESA? TEM! E sabe o que mais? TEM LIMÃO! Vem você, freguês! Aqui tem fruta, malte, lúpulo, levedura e água. Mas de um jeito diferentão, incomum, excêntrico. I’m Fucking Sour é a terceira cerveja da nossa linha Sour. Uma cerveja fresca, azedinha, deliciosa. Um suco de frutas. Visual característico da pitaya. Sabor e aroma inconfundíveis de framboesa. E a acidez do limão. Não é caldo de cana mas vai lamber os beiços. Você vai curtir. E se não curtir, I’m Fucking Sour.;sour_im_fucking_sour.jpeg
From Brazil with Love;Cervejaria Autustinus;Sour / Fruit Beer;9.5;0;113;4.04;Também conhecidas como cervejas azedas, as Sour são cervejas diferentes, ácidas, com significativo aroma e sabor de fermentação. Uma cerveja de acidez elevada intencionalmente, todos os exemplares trazem essa característica tanto no aroma quanto no sabor, sendo alguns mais ou menos intensos. ;A Augustinus From Brazil With Love é uma cerveja do estilo Imperial Sour Ale com 9,5% de teor alcoólico. Elaborada com adição de cargas absurdas de manga e abacaxi, além de Dry Hopping com o lúpulo HBC 472 e coco fresco, é uma cerveja refrescante, com muito aroma e sabor das frutas, além de ótima drinkability apesar do alto teor alcoólico. Manter Refrigerada.;sour_from_brazil_with_love.jpeg
Build Me Up;Spartacus Brewing;Sour / Fruit Beer;8;5;152;4.34;Também conhecidas como cervejas azedas, as Sour são cervejas diferentes, ácidas, com significativo aroma e sabor de fermentação. Uma cerveja de acidez elevada intencionalmente, todos os exemplares trazem essa característica tanto no aroma quanto no sabor, sendo alguns mais ou menos intensos. ;"A Spartacus Build Me Up é uma cerveja do estilo American Sour Ale com 8,0% de teor alcoólico e 5 IBU. Elaborada com uma base cremosa com aveia, maltes de trigo e um toque de lactose, recebe adições absurdas de goiaba, mel, limão siciliano e amêndoas. Uma cerveja complexa, com camadas de aromas e sabores. Cerveja não-pasteurizada. Manter Refrigerada.
";sour_bulld_me_up.jpeg
Unicorn Fuit Beer;Startup Brewing;Sour / Fruit Beer;4;10;642;3.52;Também conhecidas como cervejas azedas, as Sour são cervejas diferentes, ácidas, com significativo aroma e sabor de fermentação. Uma cerveja de acidez elevada intencionalmente, todos os exemplares trazem essa característica tanto no aroma quanto no sabor, sendo alguns mais ou menos intensos. ;A Unicorn Fruit Beer leva adição de Framboesa, Morango e Amora em sua receita, que dao uma belissima coloracao rosada e turva para essa cerveja.. Com 4% de teor alcoólico e 10 IBU, ela foi fermentada com uma levedura isolada de amora e morango.;sour_unicorn.jpeg
Nêspera Lambic;Cervejaria Imigração;Lambic;7;11;268;3.89;"A cerveja Lambic é uma cerveja de fermentação espontânea, com leveduras selvagens, sem a adição controlada de fermento. O estilo é característico da região do Vale do Rio Senne, na Bélgica. Geralmente são maturadas em barricas de madeira.  Fruit Lambic, que conta com adição de frutas; Gueuze, que é um “blend” de Lambics novas (1 ano) e antigas (2 a 3 anos), retirada de diferentes barris e engarrafadas para uma segunda fermentação; e Faro, com adição de candy sugar, açúcar mascavo ou melaço de cana. Certamente, um dos estilos de cerveja mais antigos do mundo.";;lambic_nespera.jpeg
Framboise Lambic;Cervejaria Imigração;Lambic;6.7;11;397;3.89;"A cerveja Lambic é uma cerveja de fermentação espontânea, com leveduras selvagens, sem a adição controlada de fermento. O estilo é característico da região do Vale do Rio Senne, na Bélgica. Geralmente são maturadas em barricas de madeira.  Fruit Lambic, que conta com adição de frutas; Gueuze, que é um “blend” de Lambics novas (1 ano) e antigas (2 a 3 anos), retirada de diferentes barris e engarrafadas para uma segunda fermentação; e Faro, com adição de candy sugar, açúcar mascavo ou melaço de cana. Certamente, um dos estilos de cerveja mais antigos do mundo.";;lambic_framboise.jpeg
Spontaneus #1;ZalaZ;Lambic;6.5;0;94;4.36;"A cerveja Lambic é uma cerveja de fermentação espontânea, com leveduras selvagens, sem a adição controlada de fermento. O estilo é característico da região do Vale do Rio Senne, na Bélgica. Geralmente são maturadas em barricas de madeira.  Fruit Lambic, que conta com adição de frutas; Gueuze, que é um “blend” de Lambics novas (1 ano) e antigas (2 a 3 anos), retirada de diferentes barris e engarrafadas para uma segunda fermentação; e Faro, com adição de candy sugar, açúcar mascavo ou melaço de cana. Certamente, um dos estilos de cerveja mais antigos do mundo.";;lambic_spontaneus.jpeg
Moscatel Lambic;Cervejaria Imigração;Lambic;6;3;214;3.85;"A cerveja Lambic é uma cerveja de fermentação espontânea, com leveduras selvagens, sem a adição controlada de fermento. O estilo é característico da região do Vale do Rio Senne, na Bélgica. Geralmente são maturadas em barricas de madeira.  Fruit Lambic, que conta com adição de frutas; Gueuze, que é um “blend” de Lambics novas (1 ano) e antigas (2 a 3 anos), retirada de diferentes barris e engarrafadas para uma segunda fermentação; e Faro, com adição de candy sugar, açúcar mascavo ou melaço de cana. Certamente, um dos estilos de cerveja mais antigos do mundo.";;lambic_moscatel.jpeg
Belgian Lambic;Cervejaria Imigração;Lambic;5.5;3;315;3.93;"A cerveja Lambic é uma cerveja de fermentação espontânea, com leveduras selvagens, sem a adição controlada de fermento. O estilo é característico da região do Vale do Rio Senne, na Bélgica. Geralmente são maturadas em barricas de madeira.  Fruit Lambic, que conta com adição de frutas; Gueuze, que é um “blend” de Lambics novas (1 ano) e antigas (2 a 3 anos), retirada de diferentes barris e engarrafadas para uma segunda fermentação; e Faro, com adição de candy sugar, açúcar mascavo ou melaço de cana. Certamente, um dos estilos de cerveja mais antigos do mundo.";;lambic_belgian.jpeg
